plate_well,WellId,Plate,Plate_number,Drug_name,Treatment,Metadata_dil_factor,Metadata_concentration_uM,PlateNumber,Row,Column,cell_counts,label
1A1_F14,F14,Plate1_drugs,1,irinotecan,treated,0.03125,0.625,1A1,6,14,673,2
1A1_F15,F15,Plate1_drugs,1,irinotecan,treated,0.015625,0.3125,1A1,6,15,725,1
1A1_F16,F16,Plate1_drugs,1,brefeldin-a,treated,1,20,1A1,6,16,474,7
1A1_F17,F17,Plate1_drugs,1,brefeldin-a,treated,0.5,10,1A1,6,17,562,6
1A1_F18,F18,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,6,18,867,1
1A1_F19,F19,Plate1_drugs,1,brefeldin-a,treated,0.25,5,1A1,6,19,454,5
1A1_F20,F20,Plate1_drugs,1,brefeldin-a,treated,0.125,2.5,1A1,6,20,443,4
1A1_F21,F21,Plate1_drugs,1,brefeldin-a,treated,0.0625,1.25,1A1,6,21,421,3
1A1_F22,F22,Plate1_drugs,1,brefeldin-a,treated,0.03125,0.625,1A1,6,22,456,2
1A1_F23,F23,Plate1_drugs,1,brefeldin-a,treated,0.015625,0.3125,1A1,6,23,343,1
1A1_G02,G02,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,7,2,785,1
1A1_G03,G03,Plate1_drugs,1,mdivi-1,treated,1,20,1A1,7,3,807,7
1A1_G04,G04,Plate1_drugs,1,mdivi-1,treated,0.5,10,1A1,7,4,477,6
1A1_G05,G05,Plate1_drugs,1,mdivi-1,treated,0.25,5,1A1,7,5,775,5
1A1_G06,G06,Plate1_drugs,1,mdivi-1,treated,0.125,2.5,1A1,7,6,795,4
1A1_G07,G07,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,7,7,782,1
1A1_G08,G08,Plate1_drugs,1,mdivi-1,treated,0.0625,1.25,1A1,7,8,822,3
1A1_G09,G09,Plate1_drugs,1,mdivi-1,treated,0.03125,0.625,1A1,7,9,760,2
1A1_G10,G10,Plate1_drugs,1,mdivi-1,treated,0.015625,0.3125,1A1,7,10,881,1
1A1_G11,G11,Plate1_drugs,1,erastin,treated,1,20,1A1,7,11,735,7
1A1_G12,G12,Plate1_drugs,1,erastin,treated,0.5,10,1A1,7,12,769,6
1A1_G13,G13,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,7,13,763,1
1A1_G14,G14,Plate1_drugs,1,erastin,treated,0.25,5,1A1,7,14,827,5
1A1_G15,G15,Plate1_drugs,1,erastin,treated,0.125,2.5,1A1,7,15,818,4
1A1_G16,G16,Plate1_drugs,1,erastin,treated,0.0625,1.25,1A1,7,16,807,3
1A1_G17,G17,Plate1_drugs,1,erastin,treated,0.03125,0.625,1A1,7,17,809,2
1A1_G18,G18,Plate1_drugs,1,erastin,treated,0.015625,0.3125,1A1,7,18,837,1
1A1_G19,G19,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,7,19,718,1
1A1_G20,G20,Plate1_drugs,1,golgicide-A,treated,1,20,1A1,7,20,365,7
1A1_G21,G21,Plate1_drugs,1,golgicide-A,treated,0.5,10,1A1,7,21,556,6
1A1_G22,G22,Plate1_drugs,1,golgicide-A,treated,0.25,5,1A1,7,22,731,5
1A1_G23,G23,Plate1_drugs,1,golgicide-A,treated,0.125,2.5,1A1,7,23,864,4
1A1_H02,H02,Plate1_drugs,1,golgicide-A,treated,0.0625,1.25,1A1,8,2,696,3
1A1_H03,H03,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,8,3,712,1
1A1_H04,H04,Plate1_drugs,1,golgicide-A,treated,0.03125,0.625,1A1,8,4,760,2
1A1_H05,H05,Plate1_drugs,1,golgicide-A,treated,0.015625,0.3125,1A1,8,5,768,1
1A1_H06,H06,Plate1_drugs,1,MG-101,treated,1,20,1A1,8,6,91,7
1A1_H07,H07,Plate1_drugs,1,MG-101,treated,0.5,10,1A1,8,7,120,6
1A1_H08,H08,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,8,8,914,1
1A1_H09,H09,Plate1_drugs,1,MG-101,treated,0.25,5,1A1,8,9,156,5
1A1_H10,H10,Plate1_drugs,1,MG-101,treated,0.125,2.5,1A1,8,10,303,4
1A1_H11,H11,Plate1_drugs,1,MG-101,treated,0.0625,1.25,1A1,8,11,526,3
1A1_H12,H12,Plate1_drugs,1,MG-101,treated,0.03125,0.625,1A1,8,12,767,2
1A1_H13,H13,Plate1_drugs,1,MG-101,treated,0.015625,0.3125,1A1,8,13,750,1
1A1_H14,H14,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,8,14,739,1
1A1_H15,H15,Plate1_drugs,1,leupeptin,treated,1,20,1A1,8,15,684,7
1A1_H16,H16,Plate1_drugs,1,leupeptin,treated,0.5,10,1A1,8,16,873,6
1A1_H17,H17,Plate1_drugs,1,leupeptin,treated,0.25,5,1A1,8,17,841,5
1A1_H18,H18,Plate1_drugs,1,leupeptin,treated,0.125,2.5,1A1,8,18,864,4
1A1_H19,H19,Plate1_drugs,1,leupeptin,treated,0.0625,1.25,1A1,8,19,711,3
1A1_H20,H20,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,8,20,822,1
1A1_H21,H21,Plate1_drugs,1,leupeptin,treated,0.03125,0.625,1A1,8,21,871,2
1A1_H22,H22,Plate1_drugs,1,leupeptin,treated,0.015625,0.3125,1A1,8,22,852,1
1A1_H23,H23,Plate1_drugs,1,BTB06584,treated,1,20,1A1,8,23,753,7
1A1_I02,I02,Plate1_drugs,1,BTB06584,treated,0.5,10,1A1,9,2,723,6
1A1_I03,I03,Plate1_drugs,1,BTB06584,treated,0.25,5,1A1,9,3,733,5
1A1_I04,I04,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,9,4,789,1
1A1_I05,I05,Plate1_drugs,1,BTB06584,treated,0.125,2.5,1A1,9,5,810,4
1A1_I06,I06,Plate1_drugs,1,BTB06584,treated,0.0625,1.25,1A1,9,6,781,3
1A1_I07,I07,Plate1_drugs,1,BTB06584,treated,0.03125,0.625,1A1,9,7,803,2
1A1_I08,I08,Plate1_drugs,1,BTB06584,treated,0.015625,0.3125,1A1,9,8,784,1
1A1_I09,I09,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,9,9,756,1
1A1_I10,I10,Plate1_drugs,1,CK-636,treated,1,20,1A1,9,10,619,7
1A1_I11,I11,Plate1_drugs,1,CK-636,treated,0.5,10,1A1,9,11,770,6
1A1_I12,I12,Plate1_drugs,1,CK-636,treated,0.25,5,1A1,9,12,829,5
1A1_I13,I13,Plate1_drugs,1,CK-636,treated,0.125,2.5,1A1,9,13,778,4
1A1_I14,I14,Plate1_drugs,1,CK-636,treated,0.0625,1.25,1A1,9,14,828,3
1A1_I15,I15,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,9,15,801,1
1A1_I16,I16,Plate1_drugs,1,CK-636,treated,0.03125,0.625,1A1,9,16,734,2
1A1_I17,I17,Plate1_drugs,1,CK-636,treated,0.015625,0.3125,1A1,9,17,761,1
1A1_I18,I18,Plate1_drugs,1,eliglustat,treated,1,20,1A1,9,18,708,7
1A1_I19,I19,Plate1_drugs,1,eliglustat,treated,0.5,10,1A1,9,19,707,6
1A1_I20,I20,Plate1_drugs,1,eliglustat,treated,0.25,5,1A1,9,20,839,5
1A1_I21,I21,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,9,21,889,1
1A1_I22,I22,Plate1_drugs,1,eliglustat,treated,0.125,2.5,1A1,9,22,790,4
1A1_I23,I23,Plate1_drugs,1,eliglustat,treated,0.0625,1.25,1A1,9,23,787,3
1A1_J02,J02,Plate1_drugs,1,eliglustat,treated,0.03125,0.625,1A1,10,2,649,2
1A1_J03,J03,Plate1_drugs,1,eliglustat,treated,0.015625,0.3125,1A1,10,3,580,1
1A1_J04,J04,Plate1_drugs,1,dynasore,treated,1,20,1A1,10,4,460,7
1A1_J05,J05,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,10,5,706,1
1A1_J06,J06,Plate1_drugs,1,dynasore,treated,0.5,10,1A1,10,6,582,6
1A1_J07,J07,Plate1_drugs,1,dynasore,treated,0.25,5,1A1,10,7,626,5
1A1_J08,J08,Plate1_drugs,1,dynasore,treated,0.125,2.5,1A1,10,8,735,4
1A1_J09,J09,Plate1_drugs,1,dynasore,treated,0.0625,1.25,1A1,10,9,658,3
1A1_J10,J10,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,10,10,829,1
1A1_J11,J11,Plate1_drugs,1,dynasore,treated,0.03125,0.625,1A1,10,11,701,2
1A1_J12,J12,Plate1_drugs,1,dynasore,treated,0.015625,0.3125,1A1,10,12,711,1
1A1_J13,J13,Plate1_drugs,1,LTX-315,treated,1,20,1A1,10,13,22,7
1A1_J14,J14,Plate1_drugs,1,LTX-315,treated,0.5,10,1A1,10,14,102,6
1A1_J15,J15,Plate1_drugs,1,LTX-315,treated,0.25,5,1A1,10,15,398,5
1A1_J16,J16,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,10,16,758,1
1A1_J17,J17,Plate1_drugs,1,LTX-315,treated,0.125,2.5,1A1,10,17,714,4
1A1_J18,J18,Plate1_drugs,1,LTX-315,treated,0.0625,1.25,1A1,10,18,808,3
1A1_J19,J19,Plate1_drugs,1,LTX-315,treated,0.03125,0.625,1A1,10,19,661,2
1A1_J20,J20,Plate1_drugs,1,LTX-315,treated,0.015625,0.3125,1A1,10,20,875,1
1A1_J21,J21,Plate1_drugs,1,rolipram,treated,1,20,1A1,10,21,773,7
1A1_J22,J22,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,10,22,624,1
1A1_J23,J23,Plate1_drugs,1,rolipram,treated,0.5,10,1A1,10,23,702,6
1A1_K02,K02,Plate1_drugs,1,rolipram,treated,0.25,5,1A1,11,2,683,5
1A1_K03,K03,Plate1_drugs,1,rolipram,treated,0.125,2.5,1A1,11,3,756,4
1A1_K04,K04,Plate1_drugs,1,rolipram,treated,0.0625,1.25,1A1,11,4,667,3
1A1_K05,K05,Plate1_drugs,1,rolipram,treated,0.03125,0.625,1A1,11,5,849,2
1A1_K06,K06,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,11,6,880,1
1A1_K07,K07,Plate1_drugs,1,rolipram,treated,0.015625,0.3125,1A1,11,7,789,1
1A1_K08,K08,Plate1_drugs,1,FCCP,treated,1,20,1A1,11,8,569,7
1A1_K09,K09,Plate1_drugs,1,FCCP,treated,0.5,10,1A1,11,9,516,6
1A1_K10,K10,Plate1_drugs,1,FCCP,treated,0.25,5,1A1,11,10,698,5
1A1_K11,K11,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,11,11,643,1
1A1_K12,K12,Plate1_drugs,1,FCCP,treated,0.125,2.5,1A1,11,12,689,4
1A1_K13,K13,Plate1_drugs,1,FCCP,treated,0.0625,1.25,1A1,11,13,658,3
1A1_K14,K14,Plate1_drugs,1,FCCP,treated,0.03125,0.625,1A1,11,14,797,2
1A1_K15,K15,Plate1_drugs,1,FCCP,treated,0.015625,0.3125,1A1,11,15,762,1
1A1_K16,K16,Plate1_drugs,1,mitomycin-c,treated,1,20,1A1,11,16,185,7
1A1_K17,K17,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,11,17,750,1
1A1_K18,K18,Plate1_drugs,1,mitomycin-c,treated,0.5,10,1A1,11,18,379,6
1A1_K19,K19,Plate1_drugs,1,mitomycin-c,treated,0.25,5,1A1,11,19,395,5
1A1_K20,K20,Plate1_drugs,1,mitomycin-c,treated,0.125,2.5,1A1,11,20,487,4
1A1_K21,K21,Plate1_drugs,1,mitomycin-c,treated,0.0625,1.25,1A1,11,21,464,3
1A1_K22,K22,Plate1_drugs,1,mitomycin-c,treated,0.03125,0.625,1A1,11,22,540,2
1A1_K23,K23,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,11,23,829,1
1A1_L02,L02,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,12,2,419,1
1A1_L03,L03,Plate1_drugs,1,mitomycin-c,treated,0.015625,0.3125,1A1,12,3,523,1
1A1_L04,L04,Plate1_drugs,1,paclitaxel,treated,1,20,1A1,12,4,692,7
1A1_L05,L05,Plate1_drugs,1,paclitaxel,treated,0.5,10,1A1,12,5,728,6
1A1_L06,L06,Plate1_drugs,1,paclitaxel,treated,0.25,5,1A1,12,6,805,5
1A1_L07,L07,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,12,7,833,1
1A1_L08,L08,Plate1_drugs,1,paclitaxel,treated,0.125,2.5,1A1,12,8,633,4
1A1_L09,L09,Plate1_drugs,1,paclitaxel,treated,0.0625,1.25,1A1,12,9,739,3
1A1_L10,L10,Plate1_drugs,1,paclitaxel,treated,0.03125,0.625,1A1,12,10,776,2
1A1_L11,L11,Plate1_drugs,1,paclitaxel,treated,0.015625,0.3125,1A1,12,11,722,1
1A1_L12,L12,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,12,12,715,1
1A1_L13,L13,Plate1_drugs,1,sirolimus,treated,1,20,1A1,12,13,528,7
1A1_L14,L14,Plate1_drugs,1,sirolimus,treated,0.5,10,1A1,12,14,506,6
1A1_L15,L15,Plate1_drugs,1,sirolimus,treated,0.25,5,1A1,12,15,747,5
1A1_L16,L16,Plate1_drugs,1,sirolimus,treated,0.125,2.5,1A1,12,16,759,4
1A1_L17,L17,Plate1_drugs,1,sirolimus,treated,0.0625,1.25,1A1,12,17,741,3
1A1_L18,L18,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,12,18,894,1
1A1_L19,L19,Plate1_drugs,1,sirolimus,treated,0.03125,0.625,1A1,12,19,615,2
1A1_L20,L20,Plate1_drugs,1,sirolimus,treated,0.015625,0.3125,1A1,12,20,795,1
1A1_L21,L21,Plate1_drugs,1,doxorubicin,treated,1,5,1A1,12,21,179,7
1A1_L22,L22,Plate1_drugs,1,doxorubicin,treated,0.5,2.5,1A1,12,22,561,6
1A1_L23,L23,Plate1_drugs,1,doxorubicin,treated,0.25,1.25,1A1,12,23,595,5
1A1_M02,M02,Plate1_drugs,1,doxorubicin,treated,0.125,0.625,1A1,13,2,700,4
1A1_M03,M03,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,13,3,789,1
1A1_M04,M04,Plate1_drugs,1,doxorubicin,treated,0.0625,0.3125,1A1,13,4,682,3
1A1_M05,M05,Plate1_drugs,1,doxorubicin,treated,0.03125,0.15625,1A1,13,5,799,2
1A1_M06,M06,Plate1_drugs,1,doxorubicin,treated,0.015625,0.078125,1A1,13,6,731,1
1A1_M07,M07,Plate1_drugs,1,trichostatin-a,treated,1,20,1A1,13,7,115,7
1A1_M08,M08,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,13,8,734,1
1A1_M09,M09,Plate1_drugs,1,trichostatin-a,treated,0.5,10,1A1,13,9,174,6
1A1_M10,M10,Plate1_drugs,1,trichostatin-a,treated,0.25,5,1A1,13,10,330,5
1A1_M11,M11,Plate1_drugs,1,trichostatin-a,treated,0.125,2.5,1A1,13,11,358,4
1A1_M12,M12,Plate1_drugs,1,trichostatin-a,treated,0.0625,1.25,1A1,13,12,371,3
1A1_M13,M13,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,13,13,696,1
1A1_M14,M14,Plate1_drugs,1,trichostatin-a,treated,0.03125,0.625,1A1,13,14,545,2
1A1_M15,M15,Plate1_drugs,1,trichostatin-a,treated,0.015625,0.3125,1A1,13,15,645,1
1A1_M16,M16,Plate1_drugs,1,gemcitabine,treated,1,20,1A1,13,16,253,7
1A1_M17,M17,Plate1_drugs,1,gemcitabine,treated,0.5,10,1A1,13,17,345,6
1A1_M18,M18,Plate1_drugs,1,gemcitabine,treated,0.25,5,1A1,13,18,306,5
1A1_M19,M19,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,13,19,802,1
1A1_M20,M20,Plate1_drugs,1,gemcitabine,treated,0.125,2.5,1A1,13,20,297,4
1A1_M21,M21,Plate1_drugs,1,gemcitabine,treated,0.0625,1.25,1A1,13,21,285,3
1A1_M22,M22,Plate1_drugs,1,gemcitabine,treated,0.03125,0.625,1A1,13,22,476,2
1A1_M23,M23,Plate1_drugs,1,gemcitabine,treated,0.015625,0.3125,1A1,13,23,803,1
1A1_N02,N02,Plate1_drugs,1,vincristine,treated,1,20,1A1,14,2,348,7
1A1_N03,N03,Plate1_drugs,1,vincristine,treated,0.5,10,1A1,14,3,386,6
1A1_N04,N04,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,14,4,748,1
1A1_N05,N05,Plate1_drugs,1,vincristine,treated,0.25,5,1A1,14,5,353,5
1A1_N06,N06,Plate1_drugs,1,vincristine,treated,0.125,2.5,1A1,14,6,365,4
1A1_N07,N07,Plate1_drugs,1,vincristine,treated,0.0625,1.25,1A1,14,7,430,3
1A1_N08,N08,Plate1_drugs,1,vincristine,treated,0.03125,0.625,1A1,14,8,411,2
1A1_N09,N09,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,14,9,839,1
1A1_N10,N10,Plate1_drugs,1,vincristine,treated,0.015625,0.3125,1A1,14,10,375,1
1A1_N11,N11,Plate1_drugs,1,bendamustine,treated,1,20,1A1,14,11,142,7
1A1_N12,N12,Plate1_drugs,1,bendamustine,treated,0.5,10,1A1,14,12,129,6
1A1_N13,N13,Plate1_drugs,1,bendamustine,treated,0.25,5,1A1,14,13,124,5
1A1_N14,N14,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,14,14,717,1
1A1_N15,N15,Plate1_drugs,1,bendamustine,treated,0.125,2.5,1A1,14,15,1,4
1A1_N16,N16,Plate1_drugs,1,bendamustine,treated,0.0625,1.25,1A1,14,16,155,3
1A1_N17,N17,Plate1_drugs,1,bendamustine,treated,0.03125,0.625,1A1,14,17,598,2
