,plate_well,WellId,Metadata_well_1,Plate_number,Drug_name,Treatment,Metadata_dil_factor,Metadata_concentration_uM,PlateNumber,Row,Column,CELL_COUNT,ObjectArea_NUC_A,ObjectShapeP2A_NUC_A,ObjectShapeLWR_NUC_A,ObjectTotalInten_NUC_A,ObjectAvgInten_NUC_A,ObjectVarInten_NUC_A,ObjectSize_NUC_A,RingTotalInten_RNA,RingAvgInten_RNA,CircTotalInten_RNA,CircAvgInten_RNA,RingSpotTotalInten_RNA,RingSpotAvgInten_RNA,RingSpotTotalArea_RNA,RingSpotAvgArea_RNA,RingSpotCount_RNA,CircSpotTotalInten_RNA,CircSpotAvgInten_RNA,CircSpotTotalArea_RNA,CircSpotAvgArea_RNA,CircSpotCount_RNA,TotalInten_RNA,AvgInten_RNA,RingTotalInten_PMG,RingAvgInten_PMG,CircTotalInten_PMG,CircAvgInten_PMG,RingSpotTotalInten_PMG,RingSpotAvgInten_PMG,RingSpotTotalArea_PMG,RingSpotAvgArea_PMG,RingSpotCount_PMG,CircSpotTotalInten_PMG,CircSpotAvgInten_PMG,CircSpotTotalArea_PMG,CircSpotAvgArea_PMG,CircSpotCount_PMG,TotalInten_PMG,AvgInten_PMG,RingTotalInten_MITO,RingAvgInten_MITO,CircTotalInten_MITO,CircAvgInten_MITO,RingSpotTotalInten_MITO,RingSpotAvgInten_MITO,RingSpotTotalArea_MITO,RingSpotAvgArea_MITO,RingSpotCount_MITO,CircSpotTotalInten_MITO,CircSpotAvgInten_MITO,CircSpotTotalArea_MITO,CircSpotAvgArea_MITO,CircSpotCount_MITO,TotalInten_MITO,AvgInten_MITO,RingTotalInten_NUC_Tex,RingAvgInten_NUC_Tex,CircTotalInten_NUC_Tex,CircAvgInten_NUC_Tex,RingSpotTotalInten_NUC_Tex,RingSpotAvgInten_NUC_Tex,RingSpotTotalArea_NUC_Tex,RingSpotAvgArea_NUC_Tex,RingSpotCount_NUC_Tex,CircSpotTotalInten_NUC_Tex,CircSpotAvgInten_NUC_Tex,CircSpotTotalArea_NUC_Tex,CircSpotAvgArea_NUC_Tex,CircSpotCount_NUC_Tex,TotalInten_NUC_Tex,AvgInten_NUC_Tex
11,1A1_B12,B12,B12,1,alvocidib,treated,0.5,10,1A1,2,12,111,2065,1.216293689,1.468402333,14006825,7102.189879,1703.630059,51.27611198,9454154,902.5182443,6927863,3417.659959,0,0,0,0,0,43935,3442.780702,10,2,2,6927863,3417.659959,26909389,2534.038796,12297639,6741.326335,5794652,4537.841293,1323,14.55639098,94,7977239,7357.685424,1026,56.25,22,12297639,6741.326335,17652592,1780.368971,8157936,3989.03201,4508214,3603.469828,1329,8.18556701,148,2358503,4698.213147,481,8.6,57,8157936,3989.03201,5950583,563.1953789,14081620,7102.301489,1976,1468.642857,1,1,1,4849019,7600.610411,664,30.06896552,23,14081620,7102.301489
12,1A1_B13,B13,B13,1,alvocidib,treated,0.25,5,1A1,2,13,121,1735,1.247979277,1.508000034,14815215,9003.134421,2214.950498,47.00075117,10388579,1102.827359,7532281,4199.397501,48685,3165.357143,12,2.75,2,66675,4464.052632,12,2.090909091,2,7532281,4199.397501,26417587,2688.871501,12618950,6964.100442,5870096,4661.544014,1237,13.34415584,92,8805923,7837.573391,1137,83.07142857,14,12618950,6964.100442,21612233,2303.593091,10403583,5641.814391,5110393,4767.157649,1132,7.921875,142,3615568,6431.673953,510,8.962962963,58,10403583,5641.814391,7493506,814.0219567,14564796,8883.024087,0,0,0,0,0,5038680,9400.522388,528,32.52777778,20,14564796,8883.024087
13,1A1_B14,B14,B14,1,DMSO,control,NULL,NULL,1A1,2,14,700,1398.5,1.244147397,1.575191008,11351298,8593.895453,2116.8224,42.19742546,13262780.5,1912.25469,7420389.5,5148.362982,6169,3200.493506,1,1,1,637992.5,7874.94488,83,9.845238095,7,7420389.5,5148.362982,22542037,3213.137615,9113968.5,6508.42464,2810650,5456.788165,496,11.3491573,43,5744607,6918.221759,759.5,35.746337,22,9113968.5,6508.42464,17768338.5,2521.781737,6249706.5,4286.697785,2239850,4637.636854,471,5.68770279,80,794625.5,4951.758812,161,3.577165685,36.5,6249706.5,4286.697785,7470140,1044.29865,11342036.5,8603.007563,12137.5,2335.379699,4,1.25,2,5271535,9060.189548,588.5,39.05,16,11342036.5,8603.007563
14,1A1_B15,B15,B15,1,alvocidib,treated,0.125,2.5,1A1,2,15,213,1738,1.227578365,1.496094951,14107505,7965.085209,2009.391741,47.04136827,10812285,1197.358202,7208937,4013.886033,126096,3715,30,4.2,7,168527,4885.513514,35,3.333333333,6,7208937,4013.886033,26506083,2815.97055,13237183,6997.401639,5677403,4708.766444,1186,12.32758621,97,8761833,7593.954865,1120,52.5,23,13237183,6997.401639,21685280,2380.26917,9880992,5432.027483,4762306,4751.317481,961,7.044155844,147,3030549,6118.019438,488,6.380952381,66,9880992,5432.027483,7673743,836.0167687,14031075,7920.045338,3640,2059.461538,1,1,1,5246822,8638.278586,589,30.35714286,23,14031075,7920.045338
15,1A1_B16,B16,B16,1,alvocidib,treated,0.0625,1.25,1A1,2,16,357,1698,1.22498641,1.542074519,14659397,8179.433796,2239.453568,46.49688965,13666428,1620.278215,7879556,4603.83185,85583,3555.222222,24,2.65,7,676146,6034.607143,119,6.8125,13,7879556,4603.83185,27215412,3197.625966,11313813,6525.518519,3905530,4940.306203,774,7.348623853,94,7432400,7131.113014,1029,32.97619048,34,11313813,6525.518519,22416793,2602.793073,8660711,4840.836364,3080649,4776.536269,599,3.780645161,151,1432900,5472.165333,267,2.967741935,75,8660711,4840.836364,8742083,1019.089534,14631993,8147.720063,8522,2167.8,3,1,2,6181030,8783.839161,703,25.19512195,32,14631993,8147.720063
16,1A1_B17,B17,B17,1,alvocidib,treated,0.03125,0.625,1A1,2,17,452,1640.5,1.213866757,1.493980395,13494327,8261.429178,2087.645268,45.70283826,13976948.5,1706.914626,7542388.5,4743.010407,77018,4033.22,17,3.279220779,4,782219,6675.706547,119.5,9.788602941,10,7542388.5,4743.010407,25538888.5,3121.684086,10093651,6060.398741,3758898,4955.32504,756,9.601403509,77,6074458.5,6496.855383,922,27.87106136,35,10093651,6060.398741,21072600,2510.891812,7234652,4440.230888,3003136.5,4698.804122,637.5,5.204769413,119,1117184.5,5138.60889,220.5,3.48385795,55,7234652,4440.230888,8534862,1028.06889,13514516.5,8259.729998,13495,2219.581761,5,1.436507937,2,5722935.5,8677.353938,650,34.79861111,20.5,13514516.5,8259.729998
17,1A1_B18,B18,B18,1,alvocidib,treated,0.015625,0.3125,1A1,2,18,566,1597.5,1.221355685,1.516632743,12457863.5,7821.239188,1979.676445,45.09984632,14505496.5,1826.991075,7527605,4638.662891,47715,3704.973316,12,3,3,686707,6602.308154,105,9.788888889,10,7527605,4638.662891,25709079,3222.943454,9322065,5815.605382,2962945.5,5146.307692,563.5,8.83752357,60,4861312,6336.794421,767,20.00151515,41,9322065,5815.605382,22259099.5,2746.809194,7255689,4523.181641,2371825.5,4943.605946,463.5,4.152663533,107.5,764622.5,5212.906832,147,2.666666667,46,7255689,4523.181641,8551775,1043.428097,12487311,7825.414088,16607.5,2098.887097,7,1.5,3,5891846.5,8262.98908,705,31.20818182,24.5,12487311,7825.414088
18,1A1_B19,B19,B19,1,floxuridine,treated,1,20,1A1,2,19,483,1686,1.241983109,1.626063856,11318373,6876.175632,1708.607815,46.33229837,12305444,1398.445342,6720236,4035.202741,0,0,0,0,0,495615,6262.101695,82,10.28571429,7,6720236,4035.202741,24820457,2829.309917,9444629,5340.095372,1874518,4578.200599,408,7.25974026,48,4150983,5939.255274,723,14.85,45,9444629,5340.095372,20748311,2326.286752,6983382,4071.730523,1602592,4136.99693,374,3.3,110,625916,4646.270073,133,2.144578313,52,6983382,4071.730523,7592147,859.9753961,11327879,6881.261777,11435,1844.307692,5,1.2,3,5338478,7169.109901,749,24.43333333,33,11327879,6881.261777
19,1A1_B20,B20,B20,1,DMSO,control,NULL,NULL,1A1,2,20,674,1396,1.246445894,1.590024476,10666834,7994.457404,2076.150389,42.15972221,11822784,1702.126458,6304322,4333.242722,16260,3217.820796,4,2,2,514504,6411.242975,83,9.598214286,8,6304322,4333.242722,21635016.5,3042.018011,8172785,5768.339153,2548715.5,5055.349997,496.5,9.283997155,48,5122915.5,6256.013228,798.5,27.52651515,29,8172785,5768.339153,16931965.5,2356.907577,5814594.5,3965.997382,1552057.5,4277.81212,357,3.656724991,92,646071,4572.601316,140,2.516685002,47,5814594.5,3965.997382,7369303,1039.893961,10626910,8007.550401,7773,1967.015625,3,1,2,5348766.5,8515.511246,614,35.8125,19,10626910,8007.550401
20,1A1_B21,B21,B21,1,floxuridine,treated,0.5,10,1A1,2,21,449,1732,1.231104214,1.611792936,11808655,6851.287879,1708.217241,46.96009893,12183664,1311.73606,6711477,3799.122359,0,0,0,0,0,524171,6088.859375,88,10.16666667,8,6711477,3799.122359,25741210,2790.959184,10291699,5840.19746,2705543,4634.031532,592,8.263157895,62,6036650,6340.726179,911,25.27272727,36,10291699,5840.19746,24975948,2693.175137,8930460,4914.961349,3016267,4856.412564,615,4.713513514,124,1181663,5528.422222,215,2.929824561,62,8930460,4914.961349,7652303,819.8884237,11794241,6869.596836,8520,1874.810127,4,1.111111111,2,5144104,7231.296482,692,24.875,26,11794241,6869.596836
21,1A1_B22,B22,B22,1,floxuridine,treated,0.25,5,1A1,2,22,506,1734,1.228216829,1.569659976,11915338.5,7040.473759,1674.384563,46.98720433,13610625,1548.415661,7107171,4152.845761,0,0,0,0,0,639394,7072.202447,93.5,10.73333333,8,7107171,4152.845761,26195453,2960.953258,10103901.5,5829.371518,3017640,4996.147515,609,10.78860294,49,4925930,6399.479,768.5,20.20512821,34,10103901.5,5829.371518,22408254.5,2553.803619,7757625,4359.920238,2869031.5,4635.030946,638,5.998073785,105,867847,5117.886312,176.5,3.471410006,46,7757625,4359.920238,7294827.5,834.4447723,11978436,7088.590881,12192.5,2067.055556,5,1.236111111,2,4956424,7370.141973,675,34.41203704,20,11978436,7088.590881
22,1A1_B23,B23,B23,1,floxuridine,treated,0.125,2.5,1A1,2,23,508,1718,1.242927695,1.617427342,9487338,5657.835089,1368.054274,46.76992129,12629279,1448.109391,6478118,3763.703665,3424,2368.5,1,1,1,519351,5987.02381,92,9.866071429,8,6478118,3763.703665,25107793,2816.393929,9689404.5,5515.322889,3391266,4851.912491,678.5,12.534375,47,4040611.5,6140.015805,648.5,19.99644269,30.5,9689404.5,5515.322889,24760381,2781.65577,8016333,4625.210169,4327662,5203.981178,813,8.931022789,88.5,1026462.5,5598.582021,193.5,4.697222222,35,8016333,4625.210169,5959273,675.7286853,9523329.5,5699.101473,11155.5,1865.869565,5,1.2,2,3823070,5960.873758,633.5,30.25087719,22,9523329.5,5699.101473
23,1A1_C02,C02,C02,1,floxuridine,treated,0.0625,1.25,1A1,3,2,504,1661,1.238577631,1.626431704,9393944,5883.996407,1398.461571,45.98747457,14277797.5,1621.338812,6922356.5,4081.098743,8095.5,3241.525,2,1,1,590806.5,6430.299603,94.5,9.511111111,9,6922356.5,4081.098743,25463624,2877.758478,8959450,5266.428127,2830228,4844.984755,558,10.56038984,51,3831796,5777.262182,662,13.88780842,41,8959450,5266.428127,31161963.5,3544.033578,10760640.5,6208.213325,4921622.5,6327.298395,764.5,7.93106524,101,1542403.5,7103.663266,225,4.093652283,47,10760640.5,6208.213325,5841109.5,655.4728481,9449246.5,5914.528807,3125,1602.760417,1,1,1,4025863,6166.486248,663,33.28516624,21,9449246.5,5914.528807
24,1A1_C03,C03,C03,1,DMSO,control,NULL,NULL,1A1,3,3,758,1375.5,1.240840922,1.601220281,9149071,7285.926231,1772.750041,41.84902551,11220012.5,1656.857921,5508682,4006.139615,0,0,0,0,0,443829,5998.465704,73,9,7,5508682,4006.139615,19646576,2873.303272,6997121.5,5122.066606,1630800,4987.088669,316,9.589399745,32,2528935.5,5712.299479,439,11.74038462,32,6997121.5,5122.066606,23173038.5,3368.959558,7906225.5,5747.181626,2905334,6106.286156,461.5,6.810126582,73,925697,6487.721267,141,3.711573237,34,7906225.5,5747.181626,5161495,735.127894,9199333,7340.495877,0,0,0,0,0,4246713,7665.044843,560,38.70454545,16,9199333,7340.495877
25,1A1_C04,C04,C04,1,floxuridine,treated,0.03125,0.625,1A1,3,4,583,1591,1.226308322,1.568675411,8824359,5649.887576,1367.698046,45.00804501,14566989,1717.081958,6831804,4269.195562,0,0,0,0,0,594371,6659.289474,91,9.888888889,8,6831804,4269.195562,24832682,2923.523774,8609753,5348.338445,2648711,5034.675468,516,10.41052632,46,3818038,5886.628328,632,14.26829268,38,8609753,5348.338445,31136846,3631.752026,10381076,6354.795785,4381836,6520.644051,647,7.303278689,92,1530957,7276.045627,210,4.222222222,43,10381076,6354.795785,5635100,659.5605253,8887951,5665.465782,3325,1516,1,1,1,3782648,5936.540268,632,29.92857143,23,8887951,5665.465782
26,1A1_C05,C05,C05,1,floxuridine,treated,0.015625,0.3125,1A1,3,5,605,1691,1.230844573,1.607437499,9039856,5486.340794,1307.992405,46.40094902,14346027,1675.731012,6683352,3937.075425,5456,2632.125,2,1,1,636330,6082.396552,104,11.625,8,6683352,3937.075425,25214168,2924.96205,8682961,5121.404784,1876942,4931.479452,374,8,42,2736578,5663.963068,472,8.901960784,51,8682961,5121.404784,30656187,3504.406242,10092208,5891.920846,2956802,6310.199187,458,5.133928571,86,884851,6813.471154,130,2.723404255,39,10092208,5891.920846,5599803,643.6745902,9057111,5500.406286,3525,1874.5,2,1,1,4040320,5730.696921,701,25.92857143,29,9057111,5500.406286
27,1A1_C06,C06,C06,1,haloperidol,treated,1,20,1A1,3,6,749,1359,1.2447175,1.571032635,8935859,6777.689092,1671.922166,41.59726603,11133332,1668.391728,5610381,3953.029064,43171,3735,11,2.75,3,489286,5896.228814,84,9.636363636,8,5610381,3953.029064,20203226,3002.758125,7340515,5254.450476,1530694,5094.214936,300,10.46666667,28,2613508,5860.506394,447,12.95,28,7340515,5254.450476,22984364,3411.331629,8013339,5642.741784,2611951,6054.593137,423,5.905660377,71,912820,6444.043478,139,3.47826087,34,8013339,5642.741784,4917329,715.7037127,9029663,6809.932519,3519,2126,1,1,1,4045543,7078.751168,572,33.04166667,18,9029663,6809.932519
28,1A1_C07,C07,C07,1,haloperidol,treated,0.5,10,1A1,3,7,770,1447.5,1.234823289,1.542722707,9621894.5,6486.936171,1597.735671,42.93033597,11452066.5,1676.671418,5705902,3833.909195,22914,3424.961538,7,2,2,489702.5,5630.55805,86,9.441558442,8,5705902,3833.909195,20681963.5,2991.356685,7458683.5,5122.665968,1325533.5,5078.720351,271.5,8.78132005,30,2346573,5734.797079,397,8.419081779,35,7458683.5,5122.665968,23438910,3323.920826,8045705.5,5487.93322,2211165,5951.4697,370,5.037388393,74,737995,6302.721287,116,2.855042017,33,8045705.5,5487.93322,5026379.5,721.559825,9677363.5,6525.152811,3282.5,1853.125,1,1,1,4239871.5,6762.474995,627,29.35714286,23,9677363.5,6525.152811
29,1A1_C08,C08,C08,1,haloperidol,treated,0.25,5,1A1,3,8,621,1383,1.223187531,1.511627437,8357641,6366.33936,1569.385318,41.96296332,11624979,1637.203082,5581225,3929.618173,8265,3002.8,2,1,1,486420,5829.83125,84,9.222222222,8,5581225,3929.618173,21397353,2925.324196,7280012,5178.120203,2046970,4884.494681,404,9.007518797,41,3502693,5679.628924,590,13.77419355,37,7280012,5178.120203,21612098,2982.771492,7211780,5040.333729,2200980,5322.414938,401,4.445945946,85,873372,5783.92053,149,2.675,42,7211780,5040.333729,4963387,679.8995302,8391529,6399.11926,3452,2337.857143,1,1,1,4017146,6683.25,595,29.25925926,22,8391529,6399.11926
30,1A1_C09,C09,C09,1,DMSO,control,NULL,NULL,1A1,3,9,745,1300,1.241412513,1.578601059,7789898,6371.793501,1555.532538,40.68428945,10211043,1492.886966,4856011,3610.533107,9481,2814.8125,3,1.2,1,443941,5322.505618,85,9.818181818,8,4856011,3610.533107,19373527,2799.563512,6573467,4915.521684,1452114,4740.087336,296,8.333333333,33,2558941,5467.309327,474,10.67692308,38,6573467,4915.521684,20780135,3031.007791,6798243,4998.534868,2037098,5244.612121,385,4.342657343,79,705106,5655.456897,128,2.630769231,39,6798243,4998.534868,4661339,665.0026146,7823814,6404.190395,3273,1756.8,1,1,1,4006434,6675.840502,601,37.38095238,18,7823814,6404.190395
31,1A1_C10,C10,C10,1,haloperidol,treated,0.125,2.5,1A1,3,10,760,1330,1.226786652,1.54160265,8060383.5,6781.47238,1631.795701,41.15104609,10947316,1575.244148,5260156,3838.521659,3773.5,2890.6,1,1,1,425034.5,5932.831169,74,9.236111111,7,5260156,3838.521659,20132644.5,2843.888725,6872870,5143.793126,1547667.5,4909.314867,300,9.553830228,30,2647557.5,5769.367432,458.5,13.82802938,28,6872870,5143.793126,21203206,3017.105375,6965438.5,5177.064434,2477105,5410.086601,443.5,6.30247858,69,789429,6027.148292,133,3.803846154,30,6965438.5,5177.064434,4756079.5,671.2779291,8163322,6823.429946,3466,2008.375,1,1,1,3860598,7032.257373,546.5,37.38405797,15,8163322,6823.429946
32,1A1_C11,C11,C11,1,haloperidol,treated,0.0625,1.25,1A1,3,11,722,1352,1.230638219,1.545259923,8272342,6618.165845,1586.88621,41.48999432,10658135,1542.165402,5181563,3744.741987,2742,2220.423077,1,1,1,419278.5,5727.709738,76,9.19375,7,5181563,3744.741987,19637349.5,2837.514762,7058980,5025.492805,1725319.5,4840.295399,357,9.474130241,37,2984287.5,5585.654371,526.5,14.06830189,35,7058980,5025.492805,19912542,2867.484763,6701015.5,4751.384386,2075022.5,5040.400632,402,5.352606952,74,742852.5,5429.778143,137,3.136111111,33,6701015.5,4751.384386,4752398.5,670.2189881,8328586.5,6662.202877,3138.5,1752.739234,1,1,1,3844244.5,6872.89327,539.5,31.28054299,20,8328586.5,6662.202877
