plate_well,WellId,Plate,Plate_number,Drug_name,Treatment,Metadata_dil_factor,Metadata_concentration_uM,PlateNumber,Row,Column,CELL_COUNT,ObjectArea_NUC_A,ObjectShapeP2A_NUC_A,ObjectShapeLWR_NUC_A,ObjectTotalInten_NUC_A,ObjectAvgInten_NUC_A,ObjectVarInten_NUC_A,ObjectSize_NUC_A,CircTotalInten_NUC_Tex,CircAvgInten_NUC_Tex,CircSpotTotalInten_NUC_Tex,CircSpotAvgInten_NUC_Tex,CircSpotTotalArea_NUC_Tex,CircSpotAvgArea_NUC_Tex,CircSpotCount_NUC_Tex,TotalInten_NUC_Tex,AvgInten_NUC_Tex
1A1_B18,B18,Plate1_drugs,1,alvocidib,treated,0.015625,0.3125,1A1,2,18,566,1597.5,1.221355685,1.516632743,12457863.5,7821.239188,1979.676445,45.09984632,12487311,7825.414088,5891846.5,8262.98908,705,31.20818182,24.5,12487311,7825.414088
1A1_B19,B19,Plate1_drugs,1,floxuridine,treated,1,20,1A1,2,19,483,1686,1.241983109,1.626063856,11318373,6876.175632,1708.607815,46.33229837,11327879,6881.261777,5338478,7169.109901,749,24.43333333,33,11327879,6881.261777
1A1_B20,B20,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,2,20,674,1396,1.246445894,1.590024476,10666834,7994.457404,2076.150389,42.15972221,10626910,8007.550401,5348766.5,8515.511246,614,35.8125,19,10626910,8007.550401
1A1_B21,B21,Plate1_drugs,1,floxuridine,treated,0.5,10,1A1,2,21,449,1732,1.231104214,1.611792936,11808655,6851.287879,1708.217241,46.96009893,11794241,6869.596836,5144104,7231.296482,692,24.875,26,11794241,6869.596836
1A1_B22,B22,Plate1_drugs,1,floxuridine,treated,0.25,5,1A1,2,22,506,1734,1.228216829,1.569659976,11915338.5,7040.473759,1674.384563,46.98720433,11978436,7088.590881,4956424,7370.141973,675,34.41203704,20,11978436,7088.590881
1A1_B23,B23,Plate1_drugs,1,floxuridine,treated,0.125,2.5,1A1,2,23,508,1718,1.242927695,1.617427342,9487338,5657.835089,1368.054274,46.76992129,9523329.5,5699.101473,3823070,5960.873758,633.5,30.25087719,22,9523329.5,5699.101473
1A1_C02,C02,Plate1_drugs,1,floxuridine,treated,0.0625,1.25,1A1,3,2,504,1661,1.238577631,1.626431704,9393944,5883.996407,1398.461571,45.98747457,9449246.5,5914.528807,4025863,6166.486248,663,33.28516624,21,9449246.5,5914.528807
1A1_C03,C03,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,3,3,758,1375.5,1.240840922,1.601220281,9149071,7285.926231,1772.750041,41.84902551,9199333,7340.495877,4246713,7665.044843,560,38.70454545,16,9199333,7340.495877
1A1_C04,C04,Plate1_drugs,1,floxuridine,treated,0.03125,0.625,1A1,3,4,583,1591,1.226308322,1.568675411,8824359,5649.887576,1367.698046,45.00804501,8887951,5665.465782,3782648,5936.540268,632,29.92857143,23,8887951,5665.465782
1A1_C05,C05,Plate1_drugs,1,floxuridine,treated,0.015625,0.3125,1A1,3,5,605,1691,1.230844573,1.607437499,9039856,5486.340794,1307.992405,46.40094902,9057111,5500.406286,4040320,5730.696921,701,25.92857143,29,9057111,5500.406286
1A1_C06,C06,Plate1_drugs,1,haloperidol,treated,1,20,1A1,3,6,749,1359,1.2447175,1.571032635,8935859,6777.689092,1671.922166,41.59726603,9029663,6809.932519,4045543,7078.751168,572,33.04166667,18,9029663,6809.932519
1A1_C07,C07,Plate1_drugs,1,haloperidol,treated,0.5,10,1A1,3,7,770,1447.5,1.234823289,1.542722707,9621894.5,6486.936171,1597.735671,42.93033597,9677363.5,6525.152811,4239871.5,6762.474995,627,29.35714286,23,9677363.5,6525.152811
1A1_C08,C08,Plate1_drugs,1,haloperidol,treated,0.25,5,1A1,3,8,621,1383,1.223187531,1.511627437,8357641,6366.33936,1569.385318,41.96296332,8391529,6399.11926,4017146,6683.25,595,29.25925926,22,8391529,6399.11926
1A1_C09,C09,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,3,9,745,1300,1.241412513,1.578601059,7789898,6371.793501,1555.532538,40.68428945,7823814,6404.190395,4006434,6675.840502,601,37.38095238,18,7823814,6404.190395
1A1_C10,C10,Plate1_drugs,1,haloperidol,treated,0.125,2.5,1A1,3,10,760,1330,1.226786652,1.54160265,8060383.5,6781.47238,1631.795701,41.15104609,8163322,6823.429946,3860598,7032.257373,546.5,37.38405797,15,8163322,6823.429946
1A1_C11,C11,Plate1_drugs,1,haloperidol,treated,0.0625,1.25,1A1,3,11,722,1352,1.230638219,1.545259923,8272342,6618.165845,1586.88621,41.48999432,8328586.5,6662.202877,3844244.5,6872.89327,539.5,31.28054299,20,8328586.5,6662.202877
1A1_C12,C12,Plate1_drugs,1,haloperidol,treated,0.03125,0.625,1A1,3,12,762,1342.5,1.228365223,1.52634903,8163055,6515.669309,1570.687639,41.34397211,8188553.5,6543.637371,3767196.5,6818.104288,544.5,30.99074074,19,8188553.5,6543.637371
1A1_C13,C13,Plate1_drugs,1,haloperidol,treated,0.015625,0.3125,1A1,3,13,852,1376,1.231284782,1.533365141,8592608.5,6622.924186,1561.833029,41.85662889,8637534,6652.785672,3884472,6900.583123,557.5,36.26659039,17,8637534,6652.785672
1A1_C14,C14,Plate1_drugs,1,tolfenamic-acid,treated,1,20,1A1,3,14,735,1375,1.234249262,1.550316195,9113061,6911.765944,1676.098847,41.84141936,9156608,6994.340206,4154246,7360.910663,558,37.40909091,16,9156608,6994.340206
1A1_C15,C15,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,3,15,719,1336,1.253364878,1.616324664,9175635,7228.461307,1790.117802,41.24376355,9213178,7283.601695,4046314,7611.286,531,37,16,9213178,7283.601695
1A1_C16,C16,Plate1_drugs,1,tolfenamic-acid,treated,0.5,10,1A1,3,16,785,1403,1.217434201,1.512908702,9055534,6564.152807,1590.282109,42.26529405,9049065,6580.343295,3941126,6865.251969,563,28.63636364,21,9049065,6580.343295
1A1_C17,C17,Plate1_drugs,1,tolfenamic-acid,treated,0.25,5,1A1,3,17,761,1372,1.227987121,1.526194269,8358075,6587.126612,1591.981693,41.79574925,8396928,6617.968182,3869575,6936.035809,549,29.125,21,8396928,6617.968182
1A1_C18,C18,Plate1_drugs,1,tolfenamic-acid,treated,0.125,2.5,1A1,3,18,791,1343,1.22317974,1.525265754,8127063,6582.74122,1616.161613,41.35167117,8165480,6578.327823,3963813,6946.366159,552,29.4,21,8165480,6578.327823
1A1_C19,C19,Plate1_drugs,1,tolfenamic-acid,treated,0.0625,1.25,1A1,3,19,761,1348,1.22488477,1.50801228,8290535,6844.451076,1647.838601,41.42857596,8310190,6868.165211,3884112,7198.534224,529,32.33333333,19,8310190,6868.165211
1A1_C20,C20,Plate1_drugs,1,tolfenamic-acid,treated,0.03125,0.625,1A1,3,20,784,1326,1.231469791,1.521336101,8357055,6747.569862,1604.789111,41.08911822,8339046,6772.843967,3756469,7083.466287,512.5,33.07878788,17,8339046,6772.843967
1A1_C21,C21,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,3,21,853,1286,1.243225844,1.558468373,8111566,6901.115507,1661.190219,40.4646272,8136965,6927.357778,3611754,7275.929978,486,30.06666667,18,8136965,6927.357778
1A1_C22,C22,Plate1_drugs,1,tolfenamic-acid,treated,0.015625,0.3125,1A1,3,22,770,1301,1.228512942,1.529857989,8252281.5,7208.861339,1758.652167,40.69993124,8335953,7281.775695,3715714,7674.823731,483,32.98785425,17.5,8335953,7281.775695
1A1_C23,C23,Plate1_drugs,1,amygdalin,treated,1,20,1A1,3,23,714,1317,1.235519736,1.537931626,8683448.5,7270.577236,1778.322135,40.94943515,8728166,7311.298885,3926627.5,7704.252209,508.5,32.63939394,17,8728166,7311.298885
1A1_D02,D02,Plate1_drugs,1,amygdalin,treated,0.5,10,1A1,4,2,810,1428,1.222365929,1.520099307,11127658.5,8471.517128,2021.300494,42.64019313,11148690,8463.402172,5207245.5,8796.06639,597.5,39.71428571,17,11148690,8463.402172
1A1_D03,D03,Plate1_drugs,1,amygdalin,treated,0.25,5,1A1,4,3,702,1392,1.233593914,1.512462277,11308461,8734.156473,2113.651267,42.09928083,11266763,8733.504261,5435021,9156.09328,578,40.10833333,16,11266763,8733.504261
1A1_D04,D04,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,4,4,859,1346,1.240440253,1.567140753,11044582,8878.516588,2234.083445,41.39783119,11080949,8866.177344,5085700,9466.179177,540,43.625,14,11080949,8866.177344
1A1_D05,D05,Plate1_drugs,1,amygdalin,treated,0.125,2.5,1A1,4,5,856,1398,1.223192444,1.524704522,11278334.5,8440.217761,2086.527355,42.18991448,11201651.5,8404.138862,5450347,8898.772612,596,38.30952381,17,11201651.5,8404.138862
1A1_D06,D06,Plate1_drugs,1,amygdalin,treated,0.0625,1.25,1A1,4,6,857,1428,1.232695299,1.54201883,11032975,8358.95389,1972.753364,42.64019313,11034742,8343.050027,5199440,8671.325641,609,40.78571429,16,11034742,8343.050027
1A1_D07,D07,Plate1_drugs,1,amygdalin,treated,0.03125,0.625,1A1,4,7,957,1437,1.221794763,1.490378615,11704565,8617.507963,2148.182872,42.77435243,11630161,8576.164348,5564111,9122.249573,630,35.125,18,11630161,8576.164348
1A1_D08,D08,Plate1_drugs,1,amygdalin,treated,0.015625,0.3125,1A1,4,8,849,1411,1.222715648,1.511546802,11143830,8783.145563,2119.021648,42.38562253,11117651,8789.722573,5391167,9121.498016,594,42.25,15,11117651,8789.722573
1A1_D09,D09,Plate1_drugs,1,nocodazole,treated,1,20,1A1,4,9,141,2251,1.196662694,1.362643923,19601224,9089.36875,2881.436099,53.53561632,19524629,8985.183333,6992797,10808.14833,609,17.48717949,45,19524629,8985.183333
1A1_D10,D10,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,4,10,860,1320,1.255486054,1.620034117,11111796.5,9292.696502,2311.173511,40.99605102,11108216.5,9261.057807,5410601,9716.836298,560.5,51.30217391,12,11108216.5,9261.057807
1A1_D11,D11,Plate1_drugs,1,nocodazole,treated,0.5,10,1A1,4,11,228,2168.5,1.359871206,1.529396222,19581533,9364.28401,2799.177697,52.54539975,19605051.5,9374.604102,7452975.5,10344.83611,700.5,28.503125,25,19605051.5,9374.604102
1A1_D12,D12,Plate1_drugs,1,nocodazole,treated,0.25,5,1A1,4,12,508,1466,1.296677934,1.521727635,11725854.5,7845.436865,2105.545958,43.20379965,11659647.5,7837.575601,4720329,8506.470381,540.5,37.05555556,16,11659647.5,7837.575601
1A1_D13,D13,Plate1_drugs,1,nocodazole,treated,0.125,2.5,1A1,4,13,584,1471,1.239418411,1.534944103,11811385.5,8324.556178,2096.341366,43.27741333,11839392,8354.849583,4968543,8836.663611,580,33.05606061,19,11839392,8354.849583
1A1_D14,D14,Plate1_drugs,1,nocodazole,treated,0.0625,1.25,1A1,4,14,774,1391,1.215662568,1.511409754,11335400,8763.453717,2164.927874,42.08414537,11347565,8761.305204,5145483,9298.700842,568,42.06929825,14,11347565,8761.305204
1A1_D15,D15,Plate1_drugs,1,nocodazole,treated,0.03125,0.625,1A1,4,15,784,1332,1.229359982,1.516055472,10697130.5,8759.572333,2180.007176,41.1819722,10712042.5,8765.599262,5129039.5,9408.50389,536.5,43.4965035,14,10712042.5,8765.599262
1A1_D16,D16,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,4,16,764,1299,1.248447147,1.565844408,10663358,8828.712319,2211.732639,40.66863864,10724145.5,8816.658724,5094681.5,9274.775422,549.5,39.37087912,15,10724145.5,8816.658724
1A1_D17,D17,Plate1_drugs,1,nocodazole,treated,0.015625,0.3125,1A1,4,17,855,1410,1.227847767,1.527666917,11393579,8495.992021,2026.372044,42.37060016,11378561,8507.084777,5200022,8818.011111,585,37.36363636,17,11378561,8507.084777
1A1_D18,D18,Plate1_drugs,1,CPI-613,treated,1,20,1A1,4,18,841,1359,1.223098507,1.509387559,10906769,8619.075149,2117.12223,41.59726603,10910663,8634.105559,5112579,9047.258727,565,40.71428571,15,10910663,8634.105559
1A1_D19,D19,Plate1_drugs,1,CPI-613,treated,0.5,10,1A1,4,19,848,1347,1.223853343,1.502775375,10383902,8509.457795,2022.042323,41.41320643,10398209,8486.80721,4863935,8890.346672,549,39.28431373,16,10398209,8486.80721
1A1_D20,D20,Plate1_drugs,1,CPI-613,treated,0.25,5,1A1,4,20,861,1340,1.220693469,1.506201625,10271239,8438.459724,2053.273503,41.30545957,10258446,8445.437554,4797872,8853.83547,540,40.15384615,15,10258446,8445.437554
1A1_D21,D21,Plate1_drugs,1,CPI-613,treated,0.125,2.5,1A1,4,21,797,1354,1.223300363,1.51061174,10156336,8151.071713,2005.631828,41.52067369,10184564,8153.003552,4758334,8590.836364,542,34.35714286,17,10184564,8153.003552
1A1_D22,D22,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,4,22,852,1255,1.250396329,1.60838953,9776970.5,8575.962802,2153.706884,39.97393687,9849006.5,8621.474616,4510023,9142.201908,491,40.83333333,13,9849006.5,8621.474616
1A1_D23,D23,Plate1_drugs,1,CPI-613,treated,0.0625,1.25,1A1,4,23,729,1266,1.220999639,1.472488732,9617625,8432.892287,2062.165759,40.14873925,9638404,8466.636833,4445881,8958.092251,495,37.83333333,15,9638404,8466.636833
1A1_E02,E02,Plate1_drugs,1,CPI-613,treated,0.03125,0.625,1A1,5,2,725,1411,1.209799122,1.477387542,9125956,6899.579795,1685.82412,42.38562253,9180125,6936.96979,4006009,7204.678899,548,30.84210526,20,9180125,6936.96979
1A1_E03,E03,Plate1_drugs,1,CPI-613,treated,0.015625,0.3125,1A1,5,3,828,1308.5,1.226368516,1.515586265,8493454,7120.715657,1727.213095,40.81707833,8524111,7156.886841,4010100,7458.457355,538.5,36.72767857,16,8524111,7156.886841
1A1_E04,E04,Plate1_drugs,1,daunorubicin,treated,1,5,1A1,5,4,175,1842,1.252533001,1.588140007,4381520,2244.813788,520.0685346,48.42837228,4413444,2256.635499,917993,2442.981891,303,8.423728814,23,4413444,2256.635499
1A1_E05,E05,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,5,5,805,1280,1.241540001,1.57619137,8142670,7015.893855,1764.87026,40.37012035,8180988,7057.054224,3779254,7381.595679,500,34.96969697,16,8180988,7057.054224
1A1_E06,E06,Plate1_drugs,1,daunorubicin,treated,0.5,2.5,1A1,5,6,284,1934.5,1.289467709,1.756563607,8100542,3916.30191,970.4963136,49.62942558,8128450.5,3923.253486,2221084,4151.860085,489,13.27895668,32,8128450.5,3923.253486
1A1_E07,E07,Plate1_drugs,1,daunorubicin,treated,0.25,1.25,1A1,5,7,383,2215,1.25195613,1.658724761,13281192,5829.348776,1401.706267,53.10579621,13389005,5860.425934,4900501,6075.861011,791,29.875,27,13389005,5860.425934
1A1_E08,E08,Plate1_drugs,1,daunorubicin,treated,0.125,0.625,1A1,5,8,649,1589,1.226292505,1.553345356,10531088,6274.052584,1514.995199,44.97974696,10556759,6301.321276,4217698,6524.901532,620,27.91428571,23,10556759,6301.321276
1A1_E09,E09,Plate1_drugs,1,daunorubicin,treated,0.0625,0.3125,1A1,5,9,725,1342,1.218722692,1.516738336,7908346,6444.040991,1540.68031,41.33627304,7928437,6452.119774,3702466,6740.677027,548,32.71428571,18,7928437,6452.119774
1A1_E10,E10,Plate1_drugs,1,daunorubicin,treated,0.03125,0.15625,1A1,5,10,781,1338,1.228814883,1.534046719,8331185,6698.903704,1610.89274,41.27462309,8411663,6733.501536,3767512,7070.749071,532,34.71428571,18,8411663,6733.501536
1A1_E11,E11,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,5,11,755,1296,1.24194096,1.58776316,8372867,6758.041726,1716.764773,40.62165002,8467317,6814.728111,3884761,7284.531106,531,36.11111111,17,8467317,6814.728111
1A1_E12,E12,Plate1_drugs,1,daunorubicin,treated,0.015625,0.078125,1A1,5,12,749,1329,1.22197606,1.523914955,8362740,6703.35987,1609.027089,41.13557287,8385384,6725.855717,3892810,6972.670996,540,30.83333333,19,8385384,6725.855717
1A1_E13,E13,Plate1_drugs,1,chlortetracycline,treated,1,20,1A1,5,13,667,1369,1.237147286,1.55156628,9586744,6846.894701,1641.21342,41.75002918,9581248,6889.533586,4180937,7177.190476,571,35.4,17,9581248,6889.533586
1A1_E14,E14,Plate1_drugs,1,chlortetracycline,treated,0.5,10,1A1,5,14,764,1351,1.238790733,1.572688502,8679944.5,7027.671939,1754.741053,41.47465039,8722349,7069.295607,3786105,7434.239432,516,32.69887955,17,8722349,7069.295607
1A1_E15,E15,Plate1_drugs,1,chlortetracycline,treated,0.25,5,1A1,5,15,866,1336,1.230193309,1.556123047,8912362.5,6933.543093,1668.739638,41.24376355,8952509,6981.436607,3951625,7312.748591,539,37.25824176,16,8952509,6981.436607
1A1_E16,E16,Plate1_drugs,1,chlortetracycline,treated,0.125,2.5,1A1,5,16,786,1313.5,1.228732989,1.533475044,8262698,6798.726438,1603.659955,40.89498846,8322501,6854.164874,3858589,7115.700179,532,34.54166667,17,8322501,6854.164874
1A1_E17,E17,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,5,17,895,1296,1.243667798,1.55614229,8195716,6818.283422,1672.260463,40.62165002,8224788,6829.260044,3873409,7094.659517,545,32.80952381,18,8224788,6829.260044
1A1_E18,E18,Plate1_drugs,1,chlortetracycline,treated,0.0625,1.25,1A1,5,18,930,1319.5,1.221235214,1.500545289,8364795,6686.747551,1612.394596,40.98828514,8396252,6689.897633,3883811,6929.682402,540,30.25,20,8396252,6689.897633
1A1_E19,E19,Plate1_drugs,1,chlortetracycline,treated,0.03125,0.625,1A1,5,19,794,1382,1.235589673,1.557915082,8460486,6763.827005,1623.101762,41.94778958,8502438.5,6778.589219,3881104.5,7111.88213,538.5,33.54411765,17,8502438.5,6778.589219
1A1_E20,E20,Plate1_drugs,1,chlortetracycline,treated,0.015625,0.3125,1A1,5,20,922,1291.5,1.219104989,1.494878377,8194414,6938.22194,1677.172685,40.55106423,8217751.5,6988.923015,3746181,7324.680412,504,31.32380952,18,8217751.5,6988.923015
1A1_E21,E21,Plate1_drugs,1,mepacrine,treated,1,20,1A1,5,21,464,1568,1.244536871,1.615671687,11788097,7313.470647,1790.996213,44.68151496,11820345.5,7328.159582,4442817.5,7690.680003,570,28.01612903,22,11820345.5,7328.159582
1A1_E22,E22,Plate1_drugs,1,mepacrine,treated,0.5,10,1A1,5,22,593,1366,1.229823939,1.574502635,8635968,7120.229317,1737.605359,41.70425899,8707411,7170.984283,3976807,7574.820388,528,33.94444444,17,8707411,7170.984283
1A1_E23,E23,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,5,23,945,1247,1.240252215,1.531184937,8326043,7511.596899,1848.117711,39.84632621,8323165,7547.868248,3930635,7924.34957,485,33.32,16,8323165,7547.868248
1A1_F02,F02,Plate1_drugs,1,mepacrine,treated,0.25,5,1A1,6,2,716,1438,1.219322159,1.494257911,11763088,8811.440708,2205.415208,42.78923047,11653728,8766.966667,5282852,9231.829281,571,38.5,17,11653728,8766.966667
1A1_F03,F03,Plate1_drugs,1,mepacrine,treated,0.125,2.5,1A1,6,3,696,1432,1.222316687,1.498302559,11891690.5,8665.220284,2219.479077,42.69986892,11846719,8664.286842,5163445.5,9169.69759,575,39.63333333,16,11846719,8664.286842
1A1_F04,F04,Plate1_drugs,1,mepacrine,treated,0.0625,1.25,1A1,6,4,827,1415,1.217078476,1.497150251,11632838,8950.995397,2282.057881,42.44565886,11629706,8940.055856,5321152,9616.39501,556,39,16,11629706,8940.055856
1A1_F05,F05,Plate1_drugs,1,mepacrine,treated,0.03125,0.625,1A1,6,5,749,1442,1.223767334,1.531899516,12171528,8809.601088,2143.940998,42.84870387,12121476,8773.078888,5441361,9153.666667,596,39.31818182,17,12121476,8773.078888
1A1_F06,F06,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,6,6,910,1319,1.236545017,1.57474502,8413454.5,6499.807859,1525.105861,40.98051927,8419878,6500.385793,3703910.5,6751.285144,537,35.49206349,17,8419878,6500.385793
1A1_F07,F07,Plate1_drugs,1,mepacrine,treated,0.015625,0.3125,1A1,6,7,879,1466,1.212637305,1.472363875,11601615,8416.014637,2079.119772,43.2038097,11504777,8376.950564,5422380,8854.326679,618,36.66666667,18,11504777,8376.950564
1A1_F08,F08,Plate1_drugs,1,irinotecan,treated,1,20,1A1,6,8,488,1924,1.281600664,1.761694753,12695187,6969.981933,1788.485004,49.4945676,12639680,6935.422754,5344770.5,7469.016221,714.5,25.56960951,29,12639680,6935.422754
1A1_F09,F09,Plate1_drugs,1,irinotecan,treated,0.5,10,1A1,6,9,450,1998,1.27284943,1.713297961,13835644,7134.127409,1776.835539,50.4374128,13813978,7127.768691,5426210,7572.041834,708.5,28.23973727,27,13813978,7127.768691
1A1_F10,F10,Plate1_drugs,1,irinotecan,treated,0.25,5,1A1,6,10,491,1978,1.252730439,1.652881766,15004606,7737.42835,1932.263537,50.18433839,14989399,7730.444904,5997965,8275.551481,741,33.04166667,24,14989399,7730.444904
1A1_F11,F11,Plate1_drugs,1,irinotecan,treated,0.125,2.5,1A1,6,11,594,1952.5,1.233873622,1.607824524,16127596.5,8157.588166,2024.114534,49.85980189,16143964.5,8158.113689,6659570.5,8577.18626,766.5,33.56916667,24,16143964.5,8158.113689
1A1_F12,F12,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,6,12,800,1374,1.23498298,1.556321725,11620777.5,8978.103881,2279.633894,41.82620153,11622040.5,8952.427431,5310000,9515.792949,572,45.35897436,14,11622040.5,8952.427431
1A1_F13,F13,Plate1_drugs,1,irinotecan,treated,0.0625,1.25,1A1,6,13,560,1829.5,1.239831939,1.602140522,17358324,9073.863041,2282.641767,48.26373612,17320412,9090.293124,7200536,9494.225409,745,40.70595238,19,17320412,9090.293124
1A1_F14,F14,Plate1_drugs,1,irinotecan,treated,0.03125,0.625,1A1,6,14,673,1619,1.216367531,1.486536019,15581407,8795.556923,2131.500068,45.40236583,15634488,8788.806341,5767770,9247.079681,625,35.5,20,15634488,8788.806341
1A1_F15,F15,Plate1_drugs,1,irinotecan,treated,0.015625,0.3125,1A1,6,15,725,1527,1.225213012,1.525875176,13417555,8870.222533,2216.616122,44.09350048,13471715,8866.549527,5448170,9449.93361,585,36.88235294,18,13471715,8866.549527
1A1_F16,F16,Plate1_drugs,1,brefeldin-a,treated,1,20,1A1,6,16,474,1146,1.237600813,1.48512347,11632125.5,11468.63567,3041.9146,38.19850225,11623472,11429.42935,5680704.5,12182.32544,481,83.55714286,6,11623472,11429.42935
1A1_F17,F17,Plate1_drugs,1,brefeldin-a,treated,0.5,10,1A1,6,17,562,1191.5,1.22015124,1.472271028,11482150.5,10600.08939,3038.531689,38.94951669,11398311,10562.28901,6086204,11744.17038,530,70.55,8,11398311,10562.28901
1A1_F18,F18,Plate1_drugs,1,DMSO,control,NULL,NULL,1A1,6,18,867,1301,1.239925625,1.553074057,10082609,8509.03621,2154.747676,40.69993425,10061157,8521.76,5146529,9018.134931,568,40.63157895,15,10061157,8521.76
